SKU,Price,Wholesale price
73169790293202,115,97
73169791965793,115,97
73169793215985,115,97
73169794990195,115,97
73169796442487,115,97
73169880874677,41,35
73213610454725,534,451
73214354702683,669,565
73214356702582,669,565
73214358087670,669,565
73214359720281,669,565
73214369816259,669,565
73239234996888,273,231
73239237485874,273,231
73239350630850,513,434
73239352248229,513,434
73239355003083,513,434
73239381698389,513,434
73239383696764,513,434
73239385638639,513,434
73239399202850,520,439
73239400752399,520,439
73239403564287,520,439
73239424488750,79.36,54.5
73239426124912,79.36,54.5
73239457670559,88.32,76
73239460208744,88.32,76
73239475680870,98.56,87
73239477296957,98.56,87
73239553414135,133,112
73239555270714,133,112
73239574904553,466,394
73239576629741,466,394
73239578714086,466,394
73239625209337,304,257
73239629050110,304,257
73239641795042,237,200
73239643358705,237,200
73239644718004,237,200
73239646423722,237,200
73239655944552,268,226
73239657992610,268,226
73290382202072,156,132
73290383713365,156,132
73290385817495,156,132
73290388143728,156,132
73290396693506,156,132
73290455520954,466,394
73290460038510,466,394
73290904629353,419,354
73290906505078,419,354
73292581923089,207,174
73318248815238,156,132
73318273901099,797,667
73318294216435,1195,1004
73318325909444,1418,1197
73318342466404,4941,4285
73318388063959,3264,2831
73437298992182,1215,1026
73437314655879,1600,1388
73437325270196,1895,1643
73455214062180,133,112
73455451783393,223,189
73455675223537,10,8
73455700248323,10,8
73464953513033,513,434
73464955323952,513,434
73464959579399,513,434
73533469615203,169,143
73533592829957,162,137
73533595237659,162,137
73637747703847,237,200
73637905870380,275,228
73644153458208,237,200
73662689301425,48,40
73662690224015,48,40
73662690963447,48,40
73690004885419,263,222
73690008319447,263,222
73690018539760,263,222
73698165330312,119,228
73705882391390,177,150
73705920623083,275,232
73705940636515,430,363
73705943197738,430,363
73705945160288,430,363
73705946944898,430,363
73758896713335,14,12
73766274448963,54,46
73766529891986,49,42
73766531363464,49,42
73783493136841,808,682
73801911535293,399,399
73801916564094,540,540
73810656417471,214,181
73810686764855,322,272
73810710025032,389,329
73810746535947,457,386
73810760308242,183,154
73810777769960,156,132
73810830248930,133,112
73810837095732,133,112
73810838403413,133,112
73810841749155,133,112
73825931469216,189,160
73825933099808,189,160
73825935050530,189,160
73825936494762,189,160
73825954620662,225.44,191.53
73825956062626,225.44,191.53
73825958778447,225.44,191.53
73825973211321,229,194
73825975938611,229,194
73834580422155,275,228
73834585509161,275,228
73834588917648,275,228
73834594178197,275,228
73842546812981,275,228
73842555168088,275,228
73842562858628,275,228
73842568850301,275,228
73869546592351,387,327
73869548398756,387,327
73869549920621,387,327
73869561322686,264,223
73869588334327,223,189
73869590841759,223,189
73869598375755,223,189
73869599916278,223,189
73938730564237,399,337
73938739274518,385,325
73956711990603,466,394
73956714219238,493,417
73956717951108,466,394
73956802356981,129,109
73956805113666,129,109
73956808504590,129,109
73965549315084,1078,910
73991253046827,188,159
73991254153320,188,159
73991326976561,119,101
74007669824840,200,169
74016926885309,2500,57
74025425952502,8832,7659
74042064572130,129,228
74042068636127,129,228
74042072185656,129,228
74042082522362,149,228
74042083912049,149,228
74042162557226,119,228
74052850691238,61,51
74052852134637,61,51
74052877508038,173,146
74052894197651,48,40
740617178944,106,90
74061732963610,95,80
74128529769142,39,33
74129513731135,160,135
74129516043169,160,135
74129520663014,160,135
74129555879463,34,29
74129574869560,44,37
74129592257958,57.6,48
74129605683974,44,37
74129619359722,44.8,38.5
74129647178983,115,97
74129648687438,115,97
74129669549175,169,143
74129671421009,169,143
74129691635997,210,177
74129694558143,210,177
74129706178853,37.12,31.5
74129742149074,16.64,15.5
74129743611166,16.64,15.5
74129985605232,237,200
74148619889772,682,576
74180840244685,351,297
74180853139769,318,268
74180854583907,318,268
74180855879655,318,268
74180950705240,21,18
74198320966850,399,337
74198323248232,399,337
74198325167256,399,337
74198336045282,264,223
74198337747841,264,223
74198340147840,264,223
74198361949558,8,7
74198363773886,8,7
74198379807355,9,8
74198381590315,9,8
74251062719401,102,86
74251094015271,95,80
74251120464754,102,86
74251121554350,102,86
74251122759655,102,86
74251123624041,102,86
74251125198178,102,86
74265546109857,37.12,31.5
74265592548391,34,29
74265599664456,44,37
74265612517774,44,37
74265618068024,44.8,38.5
74265624196550,57.6,48
74300986626887,92.16,68.5
74302998121727,149,126
74303018267194,426,360
74303022058470,426,360
74303024951508,426,360
74303029129752,426,360
74303058402683,565,477
74303060375044,565,477
74303064041464,565,477
74303067973687,565,477
74344133349189,761,667
74344134692801,761,667
74372767080986,322,272
74372803565620,1053,890
74404659402334,162,137
74404680608340,210,177
74440294343450,119,101
74440295977585,119,101
74440309898902,2405,2337
74440379078411,75,63
74473999218700,337,284
74474034188039,337,284
74474057289461,288,244
74474059909102,288,244
74474075740710,597,506
74474079326406,597,506
74474138140595,87,74
74474141036137,87,74
74474142580938,87,74
74474145242561,87,74
74474163815668,195,167
74474165751205,195,167
74474179027114,97,82
74474180747412,97,82
74474183284269,97,82
74474212391957,108,90
74474216100809,108,90
74474219162813,108,90
74474228294432,163,136
74474230349214,163,136
74474236482251,163,136
74474821751587,102,86
74474842785501,149,126
74484674917709,133,115
74527232972466,783,662
74527235187235,783,662
74527238724823,783,662
74528045371325,187,158
74528051403988,187,158
74543350192543,338,285
74543359829147,52,44
74559763889012,97,82
74595757937114,275,228
74605306673681,781,658
74605308965228,781,658
74605348771648,40,34
74605366074100,11,10
74605518512210,565,478
74605526061524,565,478
74605538785122,506,429
74605541278406,506,429
74681311365718,158,133.5
74690567253364,146,124
74717590690046,275,228
74725175582506,156,132
74725206008902,362,306
74820662157205,275,228
74854535188786,48,40
74854551348259,44,37
74863273869896,3289,2885
74958575523497,10,7
74977136684712,174,156
74977138907795,174,156
74977144707151,174,156
74977163276080,212,180
74977164923019,212,180
74977167616474,212,180
74977184622113,390,326
74977186711038,390,326
74984163393047,38,32
74984247839950,53,45
74984314187997,187,158
74984316298897,187,158
74994147169104,107,91
7503045107664,1131,992
75045745678283,52,44
75054486516782,49,21
75054508101915,49,19
75054541781249,60,19
75054564519578,49,19
75054590911498,221,186
75054593373859,221,186
75079145972751,44.8,38
75079206644597,44.8,38
75080655441115,156,228
75080722533204,135,114
75097718322730,67,57
75097731239282,264,223
75097733466800,264,223
75097735025525,264,223
75097737183079,264,223
75097739310585,264,223
75097771685268,246,208
75097773384462,246,208
75097774940250,246,208
75097776522530,246,208
75097778852745,246,208
75097795812019,34,29
75157197896835,48,40
75208469144134,27,23
75209140180655,18,12
75226188884144,705,592
75226190191882,705,592
75226211399242,521,440
75226214010682,521,440
75226320573961,163,136
75228100515830,337,286
75234786206220,142,120
75234821877503,169,143
75234823913638,169,143
75234829217285,169,143
75261828485804,385,325
75262058095521,5,5
75287772942171,102,86
75287825004749,246,209
75287827193197,246,209
75287832095963,246,209
75287834715773,246,209
75287862634739,125.44,88
75287864832851,125.44,88
75287867295042,125.44,88
